Image Name,Average left palm R,Average left palm G,Average left palm B,Blood Sample ID
1709617238375.jpg,67.72584438,126.1937094,121.5467453,202403051
1709617534838.jpg,81.48303699,141.8422499,146.5478458,
1709618528581.jpg,71.11204433,107.6600161,112.4350281,202403056
1709619358067.jpg,81.46267891,112.94135,126.5207605,
1709619811692.jpg,120.9086275,162.6902838,172.3116007,202403059
1709620330090.jpg,66.77537537,107.967329,115.0986061,2024030510
1709620897092.jpg,75.65865898,125.4347057,137.6585684,
1709621100853.jpg,104.1115007,140.4471188,146.307025,2024030512
1709621197474.jpg,98.3393774,175.0502834,189.2165709,2024030513
1709622111640.jpg,89.15890884,117.2434244,125.4044781,2024030514
1709622220187.jpg,140.4425182,158.7999678,147.4754543,2024030515
1709622851593.jpg,117.5260992,129.3993816,135.7578964,2024030516
1709623237829.jpg,86.96088696,123.1329327,137.203454,2024030517
1709623596231.jpg,78.06285,119.4085865,110.9374151,2024030518
1709623897067.jpg,115.2544098,149.4440756,147.8624859,2024030519
1709624882223.jpg,126.0379066,184.9509201,175.2788048,2024030520
1709625277852.jpg,101.4475727,146.3413916,140.0014496,2024030521
1709625468820.jpg,105.638382,98.16486359,85.73544121,2024030522
1709625951936.jpg,106.6330872,136.21943,138.3308811,2024030523
1709626424597.jpg,121.6227169,156.8558969,155.0018187,2024030524
1709627020679.jpg,108.1495085,144.0253048,142.5033016,2024030525
1709627226321.jpg,52.07020569,67.04251099,90.01578522,2024030526
1709627822607.jpg,137.9865551,184.2124205,185.6307764,2024030528
1709627939011.jpg,99.98620224,156.5561771,159.1869431,2024030529
1709628769434.jpg,66.40214729,78.85060596,80.06377697,
1709629488735.jpg,103.7160616,162.5519924,155.0996838,2024030532
1709629852005.jpg,117.9929934,154.6105375,161.6903534,2024030533
1709630367014.jpg,52.96501541,70.91117859,73.18951797,2024030534
1709630658552.jpg,139.0484791,179.8475552,175.8080788,2024030535
1709634190942.jpg,166.8878689,191.2492647,206.9309368,2024030536
1709634549840.jpg,63.92090988,72.11047935,92.61071014,2024030537
1709634950614.jpg,124.7280521,166.2089281,174.0284891,2024030538
1709635282287.jpg,140.336606,188.5651731,189.4491377,2024030539
1709635479138.jpg,104.7334013,154.4365091,173.122591,2024030540
1709635706070.jpg,90.22961044,150.0532074,148.7805853,
1709636144330.jpg,67.0925045,95.45216084,106.6115313,
1709636344209.jpg,124.0569973,166.1785421,172.8815985,
1709636742633.jpg,97.46602345,153.1990461,169.4656467,2024030544
1709637220943.jpg,82.42798519,137.4189777,139.4356337,2024030545
1709637621364.jpg,157.0584097,202.2473669,199.5563831,2024030547
1709638101111.jpg,72.21800137,94.05657864,111.2642155,
1709638155607.jpg,182.9960346,204.5111828,217.7963581,2024030548
1709638378432.jpg,93.35329247,150.446125,158.1891708,2024030549
1709639115677.jpg,121.5293913,169.1138096,170.3907213,2024030550
1709639484912.jpg,100.0024281,148.2765036,162.9501495,2024030551
1709639731022.jpg,43.94457245,79.3717165,87.99852753,2024030552
1709640522383.jpg,131.2060814,161.7183046,170.6013489,2024030554
1709640640876.jpg,89.69064331,147.4831924,156.5364971,202403054
1709641713527.jpg,110.0241432,141.8410015,167.3868294,2024030557
1709642203542.jpg,117.2761765,131.4167538,154.1065769,2024030559
1709642377494.jpg,83.54179955,113.4966278,148.5257692,2024030560
1709642505350.jpg,124.1577454,159.6946278,177.3527355,
1709643090289.jpg,105.4294596,143.710968,179.3710079,
1709643481068.jpg,35.38080502,53.48713493,81.90556812,2024030564
1709643528674.jpg,60.30813026,90.88292599,113.2772169,2024030565
1709643796792.jpg,117.6748171,163.7078772,176.990716,2024030566
1709644175624.jpg,79.06165123,103.1685438,124.7528276,2024030567
1709700466986.jpg,53.57961273,69.18805504,71.77033901,202403061
1709700807654.jpg,86.35324955,131.4971075,124.8739452,202403062
1709701123648.jpg,83.43350887,123.9922485,122.6979656,202403063
1709701554493.jpg,99.32273293,128.7555742,107.4308004,202403064
1709701933113.jpg,83.10195637,92.62804604,78.13947296,202403065
1709701961957.jpg,67.81831169,74.84252739,71.84871674,
1709702308842.jpg,57.42586899,126.9983463,114.2119637,202403067
1709702496696.jpg,102.2728176,133.7758732,123.6419239,202403068
1709703026121.jpg,94.90034008,121.7216711,103.1776237,2024030611
1709703082876.jpg,31.3086853,67.21352386,59.81428909,202403069
1709703559788.jpg,124.1474161,175.6370935,161.9072981,
1709703847484.jpg,114.2249727,120.5120478,108.2664337,2024030613
1709704136220.jpg,78.14666939,89.046772,78.5009203,2024030614
1709704258149.jpg,102.7638512,111.5217257,103.7303038,2024030615
1709704411655.jpg,77.46561813,90.46372604,84.34977341,2024030616
1709704788395.jpg,73.41190624,120.5746412,124.0245848,
1709704929278.jpg,107.4119835,119.3076963,118.7790003,
1709705968324.jpg,73.0381422,77.35682297,68.96761417,2024030619
1709707015891.jpg,60.58867741,118.1881409,98.22449017,
1709707141542.jpg,81.63554287,105.2283831,97.11146927,2024030623
1709707354731.jpg,45.29205513,64.18006611,65.18565273,2024030624
1709707841296.jpg,80.9802351,117.4489326,102.4337788,
1709708023705.jpg,93.90894222,117.8595572,111.760994,2024030627
1709708292558.jpg,66.00133324,90.36386204,74.12522125,2024030626
1709708833635.jpg,160.3105164,186.1106091,194.3722544,2024030629
1709708850507.jpg,60.99929523,90.39503098,88.41881943,2024030628
1709708894708.jpg,110.7263556,119.6707649,119.4944754,2024030630
1709709355786.jpg,98.04718018,103.8436604,83.00833035,2024030631
1709709540379.jpg,143.296483,186.3766689,182.3865986,
1709709830594.jpg,100.641571,91.50455189,92.83507442,
1709710336914.jpg,77.63179207,100.5121536,89.85005856,2024030634
1709710398482.jpg,113.1304798,158.7792025,151.1308775,2024030636
1709711000571.jpg,113.7177534,130.7015448,132.8570004,2024030638
1709711010517.jpg,91.47989082,89.50082588,76.7746067,2024030637
1709711234560.jpg,82.97152138,93.40743828,91.49610996,
1709711812011.jpg,89.44012642,124.6676598,132.5671616,2024030639
1709711940410.jpg,114.7974482,168.0743132,157.8217287,
1709712240550.jpg,70.4706583,87.97942924,77.20632458,2024030641
1709712261583.jpg,92.4172554,105.0293217,107.6398554,
1709712787431.jpg,134.447299,155.1942205,141.7263889,2024030644
1709712851452.jpg,90.85059452,157.2998428,164.8358116,2024030645
1709713391692.jpg,69.13906193,91.26798344,80.94193554,2024030647
1709713592404.jpg,101.0193768,121.1943941,114.1868763,2024030648
1709713652896.jpg,144.3018656,189.4079113,180.2583389,2024030649
1709713737597.jpg,102.4223661,106.6174603,86.84697437,2024030650
1709714482279.jpg,67.45906258,93.34889793,88.56299782,
1709714504177.jpg,138.426877,187.1257772,176.7227612,2024030651
1709714808812.jpg,94.55813026,98.81865501,96.61186314,
1709714917846.jpg,83.69096375,94.15458393,97.68259144,
1709715327523.jpg,80.56764507,150.2344704,142.4364891,2024030655
1709715619574.jpg,65.59699726,99.99549198,87.80768681,2024030656
1709719770812.jpg,62.95573044,132.4434338,123.9192514,2024030657
1709719848705.jpg,98.87513542,96.96784973,91.01464462,2024030652
1709719987662.jpg,71.84063625,103.4362221,91.42402267,2024030658
1709720515381.jpg,84.79959297,104.7503862,117.8756857,2024030659
1709720995737.jpg,60.63044739,97.80414486,88.86231041,2024030661
1709721255036.jpg,122.8343372,169.8452826,177.4446535,
1709721334641.jpg,85.52290916,99.02517414,97.38222408,2024030662
1709721539391.jpg,80.33154678,131.4117384,119.8622293,
1709721935643.jpg,69.91536236,99.97444153,89.23991013,
1709721961396.jpg,102.7547703,138.2519236,136.621563,2024030668
1709722661241.jpg,89.93566513,87.01004791,105.9582472,2024030670
1709722664137.jpg,94.54833794,105.3847609,99.72601986,2024030669
1709723090134.jpg,69.66702557,108.0371695,104.8531389,
1709723476667.jpg,126.0798769,135.8625479,151.116888,2024030672
1709723741174.jpg,84.57032776,129.1531687,126.6157885,2024030673
1709724216958.jpg,92.06850338,115.5589857,118.333931,2024030675
1709724237809.jpg,46.11337852,90.89651871,83.73531723,2024030674
1709724876616.jpg,102.1771708,135.678915,119.5580406,2024030676
1709725335238.jpg,40.41516113,81.39634514,85.0043993,2024030678
1709725667683.jpg,73.02713776,96.79776001,101.3105097,2024030677
1709725829260.jpg,94.17565918,134.9306822,134.1096716,2024030680
1709725976710.jpg,107.3863745,168.6349363,175.5345516,2024030679
1709726135048.jpg,47.28602409,85.6593399,76.882658,2024030681
1709726570126.jpg,79.9289093,104.8411751,104.7043228,2024030682
1709788210257.jpg,40.38955498,70.44559479,60.61508274,202403071
1709788688356.jpg,63.25130653,110.7766352,126.920866,202403073
1709788958971.jpg,59.99739361,123.8437405,103.8967428,202403074
1709789140116.jpg,40.80261803,98.69717789,108.4233942,202403075
1709789267131.jpg,56.94854832,85.21937943,93.77199745,202403076
1709789462711.jpg,64.5151329,141.8356256,145.3143177,202403077
1709790003091.jpg,68.23042583,117.0993233,114.7748442,
1709790090588.jpg,57.58404827,128.1140156,92.90381527,2024030710
1709790113334.jpg,57.53711605,89.44240952,90.72444153,202403078
1709790324469.jpg,43.54954338,102.6122599,95.60659027,2024030711
1709790657546.jpg,68.17964172,126.8499193,137.1197653,2024030716
1709790806438.jpg,55.0589447,134.728282,121.2854986,
1709790993252.jpg,52.30541515,90.03234196,94.40817642,2024030713
1709791343962.jpg,45.36721897,67.46950245,78.59551334,2024030714
1709791400129.jpg,62.02445602,90.02100086,134.3319035,
1709791584261.jpg,66.62012768,124.4035997,106.5357304,
1709791965003.jpg,52.43888474,98.46917152,97.04903889,2024030718
1709791970139.jpg,46.24740124,94.98417568,100.5069637,2024030719
1709792623460.jpg,41.50057125,60.69850159,58.44830322,2024030720
1709792648812.jpg,36.48996544,72.0456295,90.72664356,2024030721
1709792950008.jpg,38.97457981,92.14203072,91.9973402,2024030722
1709792979131.jpg,56.2635622,77.78630352,78.79688168,2024030724
1709793271519.jpg,52.08821106,61.94938469,80.95497799,2024030723
1709793603781.jpg,60.41221619,97.4306736,100.531251,
1709793629204.jpg,41.74665928,60.59208584,71.50224018,2024030726
1709794240642.jpg,72.52572346,115.6758671,142.5122013,2024030728
1709794244814.jpg,41.73986912,70.93661594,75.67509174,2024030727
1709794292084.jpg,52.95379639,90.18642426,92.52597523,2024030729
1709794783961.jpg,43.25528336,69.02429295,89.64058781,2024030730
1709794823253.jpg,52.49588203,114.9224739,103.9987059,2024030731
1709795126494.jpg,44.94074249,70.25096226,72.18965244,2024030733
1709795153983.jpg,63.65646362,95.74138737,104.4215717,2024030734
1709795520401.jpg,52.70349026,83.45357227,80.47712803,2024030735
1709795904000.jpg,66.78316307,97.08848,113.3627787,
1709796128106.jpg,49.83981323,80.88354397,78.76208496,
1709796224035.jpg,58.74893188,72.31079865,77.32115078,2024030737
1709796545670.jpg,70.649333,158.6030626,157.6238384,2024030739
1709796718579.jpg,48.8355608,59.64554691,77.3072834,2024030740
1709797027923.jpg,85.3011055,116.0165739,112.8106089,2024030741
1709797318297.jpg,58.00861168,67.34663677,75.12509727,2024030742
1709797559427.jpg,62.87928391,142.8112869,140.8593922,
1709797712828.jpg,58.43640232,88.99769211,97.81091976,2024030744
1709798092211.jpg,58.31889725,97.45038414,90.14184189,2024030745
1709798447214.jpg,67.83098793,63.73070145,73.42957878,2024030748
1709798562191.jpg,58.54382038,97.80675697,92.89384747,2024030746
1709798579166.jpg,39.86441422,67.93834877,88.2763567,2024030747
1709798869783.jpg,68.43102264,108.5796127,100.7430153,2024030749
1709799357370.jpg,58.68874359,140.9104662,128.6884546,2024030751
1709799442851.jpg,55.19219971,107.2508049,94.35799408,
1709799523296.jpg,78.21620274,109.0270443,98.73266792,2024030752
1709799676313.jpg,57.10260201,86.42582035,93.55265236,2024030750
1709799856202.jpg,69.11820793,87.19003391,86.76847839,2024030754
1709800167858.jpg,61.13908195,116.9734774,109.8200054,2024030755
1709800497650.jpg,74.43164539,110.0806122,104.3767958,2024030756
1709800514606.jpg,49.89017582,94.15515423,108.3714304,2024030758
1709800707328.jpg,47.4082489,67.27240086,77.98499775,2024030757
1709800909946.jpg,72.48194599,108.2936068,109.5863657,2024030759
1709801215681.jpg,59.93892956,93.36303997,89.33333492,2024030760
1709801345124.jpg,67.27218437,91.89145088,95.06191826,2024030761
1709801559266.jpg,71.53377724,107.3687677,101.4963951,2024030762
1709805845644.jpg,63.66336632,93.94496822,80.90898132,
1709806038402.jpg,96.72970772,144.6026869,155.094388,
1709806453284.jpg,66.2932663,80.94995499,88.69312096,2024030765
1709806690806.jpg,75.43117619,134.2365799,132.202323,2024030766
1709807137913.jpg,101.2563486,153.1865692,157.7397203,2024030767
1709808056455.jpg,70.39624023,80.3820343,119.3230562,2024030768
1709808147837.jpg,61.69792843,86.33775425,89.02463627,2024030769
1709808405050.jpg,41.46940994,79.90939617,96.05305862,2024030770
1709808780105.jpg,70.91707039,122.8915071,121.8351126,2024030771
1709808932367.jpg,60.98735714,95.71526241,89.37929344,2024030773
1709808957590.jpg,73.33607674,114.5893984,121.7772961,2024030772
1709809369491.jpg,63.03699493,83.24127769,88.85978508,2024030775
1709809527125.jpg,90.99588108,88.23271275,116.796504,2024030774
1709809748116.jpg,51.61622524,79.07496738,73.15419102,2024030776
1709809893620.jpg,78.47532749,109.0982513,98.88033485,2024030777
1709810474387.jpg,64.22407818,96.1793232,111.4584532,2024030778
1709810477410.jpg,70.10446548,122.703434,122.4434004,2024030779
1709810564770.jpg,46.73448753,87.12188244,64.2464304,2024030780
1709873196582.jpg,95.80522633,116.609561,106.5803041,202403081
1709873458056.jpg,59.45626831,72.21503735,72.4752636,202403082
1709873846635.jpg,46.71088314,76.98126316,79.15015888,202403083
1709874212369.jpg,53.92631245,87.61356449,77.84775543,202403085
1709874358109.jpg,77.59626389,87.72281837,92.60163498,202403084
1709874583987.jpg,48.70580196,67.54728222,76.71141052,
1709874768658.jpg,59.29747963,80.20643806,87.60077381,202403087
1709875067570.jpg,94.71017647,145.7828121,154.8927059,202403088
1709875417267.jpg,68.05011272,96.15855503,92.66137218,
1709875451421.jpg,59.50889301,73.94334126,62.90693188,
1709875760020.jpg,59.04189301,72.09375477,89.09217072,
1709875913701.jpg,111.959012,108.1078138,112.7728987,2024030812
1709876230100.jpg,46.87261868,75.53846073,70.994771,2024030813
1709876438150.jpg,75.8477087,104.5334206,93.58127499,2024030814
1709876794739.jpg,63.64382553,82.97651768,82.50383282,
1709876950460.jpg,62.83758068,82.60492897,76.76529408,2024030816
1709877089067.jpg,51.34890461,69.14997387,72.23493004,2024030817
1709877292597.jpg,91.17155552,122.0191145,129.368432,2024030818
1709877439923.jpg,60.13960457,80.49568367,73.46422863,2024030819
1709877974553.jpg,58.0176897,76.65153122,84.26984215,2024030820
1709878540950.jpg,70.99207973,81.58151245,85.77138901,
1709878647913.jpg,71.78697586,83.5505209,89.28844547,2024030823
1709879257517.jpg,48.8764019,70.1653347,75.42838478,2024030825
1709879276017.jpg,62.08138847,87.56666946,82.89943981,2024030826
1709879510271.jpg,75.82279301,99.84982395,108.4056368,2024030827
1709879808230.jpg,66.49540424,114.0929499,117.71702,
1709879894611.jpg,60.7687912,74.83676815,82.17181396,2024030829
1709880133275.jpg,64.68979645,72.81381416,66.08557224,2024030830
1709880323895.jpg,70.39729118,87.0278616,96.34569645,2024030831
1709880689170.jpg,74.25186443,100.0634508,110.0182714,2024030832
1709880865340.jpg,66.71203995,86.3229866,89.90341473,2024030833
1709880971499.jpg,89.21329308,103.4842358,111.1703062,2024030834
1709881338069.jpg,97.06218815,115.6776447,111.3733339,
1709881499283.jpg,57.34457588,83.03581142,89.1644516,2024030836
1709881690891.jpg,67.10346413,81.61724472,83.99638176,2024030837
1709882056073.jpg,68.31137085,102.5037155,117.5608425,2024030838
1709882356038.jpg,56.62226009,65.80896282,71.379282,2024030839
1709882594150.jpg,60.3483572,79.60926819,79.44701576,2024030840
1709882965071.jpg,71.13497543,76.21241665,68.57614517,2024030842
1709883297892.jpg,75.92612362,101.2602606,95.72006989,2024030844
1709883370289.jpg,45.63032913,70.88456535,76.8025322,2024030845
1709883597638.jpg,47.30549622,71.54342747,77.32294655,2024030843
1709883845579.jpg,56.15777397,86.79913712,82.49319267,2024030846
1709884068516.jpg,68.45739174,82.97301292,81.19081402,2024030847
1709884321143.jpg,62.41680622,88.04883385,100.6493759,2024030848
1709885005781.jpg,69.87943935,100.4703283,97.40604019,2024030849
1709885039985.jpg,67.08185482,73.56635666,77.85112953,2024030851
1709885555056.jpg,69.65849113,78.911726,92.08576107,2024030852
1709885596247.jpg,47.884552,66.82767677,76.74905586,2024030850
1709885763789.jpg,64.72568417,87.18559742,93.98536968,2024030853
1709885836384.jpg,61.27695274,88.49672222,90.41056156,2024030854
1709886193066.jpg,82.2214632,101.9003277,99.81817818,
1709886529137.jpg,58.53479576,80.87800312,85.60926533,2024030857
1709886590350.jpg,53.05677414,77.07836056,74.14612579,2024030856
1709886794732.jpg,74.7067709,100.9297247,90.31074142,
1709887169295.jpg,65.88121128,103.6839247,99.09659672,2024030859
1709887428751.jpg,87.78160858,97.62469101,108.1425638,2024030860
1709887836179.jpg,58.53611469,81.39834404,82.39393044,2024030861
1709891773372.jpg,71.08013344,76.93471909,74.39827347,2024030862
1709891886489.jpg,69.9863081,77.51690292,84.71121025,2024030863
1709892367249.jpg,52.11153316,76.25033379,82.00127411,
1709892669117.jpg,66.61891174,93.1695261,98.36369801,2024030865
1709893887186.jpg,73.25848961,87.1981039,94.59953213,2024030866
1709894199900.jpg,58.2549572,75.43557072,77.77003765,2024030867
1709894684845.jpg,64.50321388,94.46530533,101.116292,2024030868
1709894910404.jpg,63.17653179,89.58633137,80.36998844,2024030869
1709895553976.jpg,71.53894806,84.27798748,86.00150013,2024030871
1709895682456.jpg,52.08152294,70.49648285,75.04301739,2024030872
1709964117797.jpg,72.66017532,84.67475414,78.48445702,202403091
1709964354070.jpg,63.83494854,91.50488758,106.4179735,202403092
1709964797578.jpg,58.04981613,85.65359974,100.7689285,202403093
1709964875263.jpg,72.90814018,84.09825802,83.5778141,202403094
1709965167362.jpg,82.57385731,116.5985909,114.3987646,202403095
1709965452896.jpg,45.79160404,62.58389187,72.71618843,
1709965681769.jpg,44.1515398,63.81405163,88.77155113,
